기준년월,일일_방문자_수,일일_관광소비액,평균기온,최고기온,평균습도,불쾌지수
20260701,270452.0,2102615.0,19.87,21.7,93.61,67.43
20260702,290658.0,2428443.0,23.0,28.2,78.33,71.56
20260703,313502.0,2589888.0,24.8,30.7,77.83,74.36
20260704,361214.0,3536519.0,25.36,30.5,77.83,75.25
20260705,345331.0,2875119.0,25.34,28.4,82.0,75.67
20260706,280192.0,2358370.0,27.47,33.1,76.71,78.44
20260707,281918.0,2318688.0,27.76,33.5,79.88,79.31
20260708,287934.0,2479708.0,27.81,31.0,73.38,78.53
20260709,291868.0,2544385.0,28.91,33.4,67.62,79.4
20260710,312434.0,2811229.0,28.51,34.9,71.67,79.37
20260711,369362.0,3482072.0,29.25,36.5,70.92,80.38
20260712,349716.0,3027223.0,29.65,35.2,70.17,80.89
20260713,289664.0,2492801.0,30.2,36.2,68.92,81.52
20260714,289184.0,2489755.0,29.19,34.5,72.79,80.57
20260715,286962.0,2427198.0,31.98,37.3,54.67,81.7
20260716,315836.0,2791980.0,29.68,35.9,56.04,78.79
20260717,379218.0,3922772.0,26.92,32.8,78.79,77.84
20260718,380408.0,3978290.0,26.77,33.0,82.0,77.98
20260719,352772.0,2947616.0,25.15,29.0,85.92,75.77
20260720,288578.0,2367943.0,26.13,32.1,84.54,77.25
20260721,291098.0,2309174.0,28.84,34.5,74.71,80.3
20260722,295071.0,2666879.0,30.71,36.7,66.58,81.89
20260723,300454.0,2600788.0,30.33,36.6,68.25,81.6
20260724,322676.0,2842681.0,31.1,38.0,64.21,82.08
20260725,365855.0,3576010.0,30.86,37.6,67.79,82.32
20260726,356808.0,3332254.0,30.03,38.4,71.08,81.6
20260727,321643.0,3270701.0,30.47,38.6,70.58,82.17
20260728,319508.0,3166515.0,30.54,35.0,65.92,81.54
20260729,332864.0,3404116.0,31.4,35.7,59.62,81.74
20260730,340414.0,3621812.0,30.98,36.6,59.5,81.13
20260731,365586.0,3799214.0,25.6,25.6,82.0,76.09
