기준년월,기초지자체,중분류,소비액(천원)
20260701,경주시,관광총소비,2102615.0
20260702,경주시,관광총소비,2428443.0
20260703,경주시,관광총소비,2589888.0
20260704,경주시,관광총소비,3536519.0
20260705,경주시,관광총소비,2875119.0
20260706,경주시,관광총소비,2358370.0
20260707,경주시,관광총소비,2318688.0
20260708,경주시,관광총소비,2479708.0
20260709,경주시,관광총소비,2544385.0
20260710,경주시,관광총소비,2811229.0
20260711,경주시,관광총소비,3482072.0
20260712,경주시,관광총소비,3027223.0
20260713,경주시,관광총소비,2492801.0
20260714,경주시,관광총소비,2489755.0
20260715,경주시,관광총소비,2427198.0
20260716,경주시,관광총소비,2791980.0
20260717,경주시,관광총소비,3922772.0
20260718,경주시,관광총소비,3978290.0
20260719,경주시,관광총소비,2947616.0
20260720,경주시,관광총소비,2367943.0
20260721,경주시,관광총소비,2309174.0
20260722,경주시,관광총소비,2666879.0
20260723,경주시,관광총소비,2600788.0
20260724,경주시,관광총소비,2842681.0
20260725,경주시,관광총소비,3576010.0
20260726,경주시,관광총소비,3332254.0
20260727,경주시,관광총소비,3270701.0
20260728,경주시,관광총소비,3166515.0
20260729,경주시,관광총소비,3404116.0
20260730,경주시,관광총소비,3621812.0
20260731,경주시,관광총소비,3799214.0
20260701,경주시,호텔,47627.0
20260701,경주시,콘도,22301.0
20260701,경주시,캠핑장/펜션,1571.0
20260701,경주시,기타숙박,17434.0
20260701,경주시,육상운송,965868.0
20260701,경주시,렌터카,555.0
20260701,경주시,레저용품쇼핑,57816.0
20260701,경주시,기타관광쇼핑,279208.0
20260701,경주시,관광유원시설,2673.0
20260701,경주시,골프장,85177.0
20260701,경주시,기타레저,9642.0
20260701,경주시,문화서비스,7517.0
20260701,경주시,뷰티,24007.0
20260701,경주시,대형쇼핑몰,27102.0
20260701,경주시,일반외식업,425118.0
20260701,경주시,제과음료업,129000.0
20260702,경주시,호텔,36073.0
20260702,경주시,콘도,15790.0
20260702,경주시,캠핑장/펜션,1373.0
20260702,경주시,기타숙박,25079.0
20260702,경주시,육상운송,1033383.0
20260702,경주시,레저용품쇼핑,35566.0
20260702,경주시,기타관광쇼핑,335174.0
20260702,경주시,관광유원시설,3047.0
20260702,경주시,골프장,217082.0
20260702,경주시,기타레저,9999.0
20260702,경주시,문화서비스,8686.0
20260702,경주시,뷰티,15418.0
20260702,경주시,여행업,29445.0
20260702,경주시,렌터카,193.0
20260702,경주시,대형쇼핑몰,37746.0
20260702,경주시,일반외식업,468190.0
20260702,경주시,제과음료업,156200.0
20260703,경주시,호텔,64745.0
20260703,경주시,콘도,33001.0
20260703,경주시,캠핑장/펜션,7984.0
20260703,경주시,기타숙박,12784.0
20260703,경주시,육상운송,1027959.0
20260703,경주시,레저용품쇼핑,34935.0
20260703,경주시,기타관광쇼핑,419366.0
20260703,경주시,골프장,176018.0
20260703,경주시,기타레저,8285.0
20260703,경주시,문화서비스,10430.0
20260703,경주시,뷰티,15333.0
20260703,경주시,대형쇼핑몰,21739.0
20260703,경주시,관광유원시설,5369.0
20260703,경주시,일반외식업,575508.0
20260703,경주시,제과음료업,176431.0
20260704,경주시,호텔,127738.0
