기준년월,기초지자체,방문자 구분,방문자 수
20260701,경주시,외지인방문자(b),83716.0
20260701,경주시,전체방문자(a+b),270452.0
20260701,경주시,현지인방문자(a),186736.0
20260702,경주시,외지인방문자(b),97668.0
20260702,경주시,전체방문자(a+b),290658.0
20260702,경주시,현지인방문자(a),192990.0
20260703,경주시,외지인방문자(b),119620.0
20260703,경주시,전체방문자(a+b),313502.0
20260703,경주시,현지인방문자(a),193882.0
20260704,경주시,외지인방문자(b),181548.0
20260704,경주시,전체방문자(a+b),361214.0
20260704,경주시,현지인방문자(a),179666.0
20260705,경주시,외지인방문자(b),170782.0
20260705,경주시,전체방문자(a+b),345331.0
20260705,경주시,현지인방문자(a),174548.0
20260706,경주시,외지인방문자(b),91612.0
20260706,경주시,전체방문자(a+b),280192.0
20260706,경주시,현지인방문자(a),188580.0
20260707,경주시,외지인방문자(b),92491.0
20260707,경주시,전체방문자(a+b),281918.0
20260707,경주시,현지인방문자(a),189427.0
20260708,경주시,외지인방문자(b),97192.0
20260708,경주시,전체방문자(a+b),287934.0
20260708,경주시,현지인방문자(a),190743.0
20260709,경주시,외지인방문자(b),101073.0
20260709,경주시,전체방문자(a+b),291868.0
20260709,경주시,현지인방문자(a),190796.0
20260710,경주시,외지인방문자(b),119840.0
20260710,경주시,전체방문자(a+b),312434.0
20260710,경주시,현지인방문자(a),192594.0
20260711,경주시,외지인방문자(b),190176.0
20260711,경주시,전체방문자(a+b),369362.0
20260711,경주시,현지인방문자(a),179186.0
20260712,경주시,외지인방문자(b),177356.0
20260712,경주시,전체방문자(a+b),349716.0
20260712,경주시,현지인방문자(a),172361.0
20260713,경주시,외지인방문자(b),101766.0
20260713,경주시,전체방문자(a+b),289664.0
20260713,경주시,현지인방문자(a),187898.0
20260714,경주시,외지인방문자(b),99498.0
20260714,경주시,전체방문자(a+b),289184.0
20260714,경주시,현지인방문자(a),189686.0
20260715,경주시,외지인방문자(b),96694.0
20260715,경주시,전체방문자(a+b),286962.0
20260715,경주시,현지인방문자(a),190267.0
20260716,경주시,외지인방문자(b),123753.0
20260716,경주시,전체방문자(a+b),315836.0
20260716,경주시,현지인방문자(a),192084.0
20260717,경주시,외지인방문자(b),205902.0
20260717,경주시,전체방문자(a+b),379218.0
20260717,경주시,현지인방문자(a),173316.0
20260718,경주시,외지인방문자(b),206504.0
20260718,경주시,전체방문자(a+b),380408.0
20260718,경주시,현지인방문자(a),173904.0
20260719,경주시,외지인방문자(b),180968.0
20260719,경주시,전체방문자(a+b),352772.0
20260719,경주시,현지인방문자(a),171804.0
20260720,경주시,외지인방문자(b),99796.0
20260720,경주시,전체방문자(a+b),288578.0
20260720,경주시,현지인방문자(a),188783.0
20260721,경주시,외지인방문자(b),102868.0
20260721,경주시,전체방문자(a+b),291098.0
20260721,경주시,현지인방문자(a),188230.0
20260722,경주시,외지인방문자(b),106564.0
20260722,경주시,전체방문자(a+b),295071.0
20260722,경주시,현지인방문자(a),188506.0
20260723,경주시,외지인방문자(b),113628.0
20260723,경주시,전체방문자(a+b),300454.0
20260723,경주시,현지인방문자(a),186826.0
20260724,경주시,외지인방문자(b),134040.0
20260724,경주시,전체방문자(a+b),322676.0
20260724,경주시,현지인방문자(a),188636.0
20260725,경주시,외지인방문자(b),188954.0
20260725,경주시,전체방문자(a+b),365855.0
20260725,경주시,현지인방문자(a),176900.0
20260726,경주시,외지인방문자(b),188909.0
20260726,경주시,전체방문자(a+b),356808.0
20260726,경주시,현지인방문자(a),167898.0
20260727,경주시,외지인방문자(b),137308.0
20260727,경주시,전체방문자(a+b),321643.0
20260727,경주시,현지인방문자(a),184334.0
20260728,경주시,외지인방문자(b),136034.0
20260728,경주시,전체방문자(a+b),319508.0
20260728,경주시,현지인방문자(a),183474.0
20260729,경주시,외지인방문자(b),147644.0
20260729,경주시,전체방문자(a+b),332864.0
20260729,경주시,현지인방문자(a),185220.0
20260730,경주시,외지인방문자(b),156919.0
20260730,경주시,전체방문자(a+b),340414.0
20260730,경주시,현지인방문자(a),183494.0
20260731,경주시,외지인방문자(b),181240.0
20260731,경주시,전체방문자(a+b),365586.0
20260731,경주시,현지인방문자(a),184345.0
