거주지(시도),거주지(시군구),비율(%)
경상북도,포항시 북구,6.9
경상북도,포항시 남구,5.9
경상북도,경산시,2.6
경상북도,영천시,1.7
경상북도,구미시,1.4
경상북도,안동시,0.7
경상북도,칠곡군,0.4
경상북도,울진군,0.4
경상북도,김천시,0.3
경상북도,영주시,0.3
경상북도,상주시,0.3
경상북도,영덕군,0.3
경상북도,청송군,0.2
경상북도,청도군,0.2
경상북도,예천군,0.2
경상북도,문경시,0.1
경상북도,의성군,0.1
경상북도,영양군,0.1
경상북도,고령군,0.1
경상북도,성주군,0.1
경상북도,울릉군,0.1
경상북도,봉화군,0.0
울산광역시,북구,5.8
울산광역시,남구,4.4
울산광역시,중구,3.4
울산광역시,울주군,3.0
울산광역시,동구,1.9
대구광역시,북구,2.4
대구광역시,수성구,2.4
대구광역시,달서구,2.4
대구광역시,동구,2.2
대구광역시,달성군,1.1
대구광역시,남구,0.7
대구광역시,중구,0.6
대구광역시,서구,0.6
대구광역시,군위군,0.1
부산광역시,해운대구,1.7
부산광역시,부산진구,1.3
부산광역시,동래구,1.0
부산광역시,남구,1.0
부산광역시,금정구,0.9
부산광역시,기장군,0.9
부산광역시,북구,0.8
부산광역시,사하구,0.8
부산광역시,연제구,0.8
부산광역시,강서구,0.6
부산광역시,수영구,0.6
부산광역시,사상구,0.5
부산광역시,서구,0.4
부산광역시,동구,0.3
부산광역시,영도구,0.3
부산광역시,중구,0.2
경기도,평택시,0.5
경기도,성남시 분당구,0.4
경기도,남양주시,0.4
경기도,용인시 기흥구,0.4
경기도,수원시 권선구,0.3
경기도,수원시 영통구,0.3
경기도,고양시 덕양구,0.3
경기도,시흥시,0.3
경기도,용인시 수지구,0.3
경기도,김포시,0.3
경기도,화성시 동탄구,0.3
경기도,광주시,0.3
경기도,수원시 장안구,0.2
경기도,성남시 수정구,0.2
경기도,의정부시,0.2
경기도,안양시 동안구,0.2
경기도,부천시 원미구,0.2
경기도,광명시,0.2
경기도,안산시 상록구,0.2
경기도,안산시 단원구,0.2
경기도,고양시 일산동구,0.2
경기도,오산시,0.2
경기도,군포시,0.2
경기도,하남시,0.2
경기도,용인시 처인구,0.2
경기도,파주시,0.2
경기도,이천시,0.2
경기도,안성시,0.2
경기도,화성시 만세구,0.2
경기도,수원시 팔달구,0.1
경기도,성남시 중원구,0.1
경기도,안양시 만안구,0.1
경기도,부천시 소사구,0.1
경기도,고양시 일산서구,0.1
경기도,과천시,0.1
경기도,구리시,0.1
경기도,의왕시,0.1
경기도,화성시 효행구,0.1
경기도,화성시 병점구,0.1
경기도,양주시,0.1
경기도,포천시,0.1
경기도,여주시,0.1
경기도,양평군,0.1
경기도,부천시 오정구,0.0
경기도,동두천시,0.0
경기도,연천군,0.0
경기도,가평군,0.0
경상남도,양산시,1.9
경상남도,김해시,1.4
경상남도,창원시 의창구,0.5
경상남도,창원시 성산구,0.5
경상남도,창원시 진해구,0.4
경상남도,진주시,0.4
경상남도,거제시,0.4
경상남도,창원시 마산합포구,0.3
경상남도,창원시 마산회원구,0.3
경상남도,밀양시,0.3
경상남도,통영시,0.1
경상남도,사천시,0.1
경상남도,함안군,0.1
