지점,지점명,일시,기온(°C),강수량(mm),습도(%)
283,경주시,2026-07-01 1:00,19.7,,93
283,경주시,2026-07-01 2:00,19.2,,95
283,경주시,2026-07-01 3:00,19.3,,96
283,경주시,2026-07-01 4:00,19.4,,95
283,경주시,2026-07-01 5:00,19.3,0,95
283,경주시,2026-07-01 6:00,19.3,0,96
283,경주시,2026-07-01 7:00,19.7,0.2,96
283,경주시,2026-07-01 8:00,19.9,1.7,97
283,경주시,2026-07-01 9:00,20.7,0.5,96
283,경주시,2026-07-01 10:00,20.8,0.5,90
283,경주시,2026-07-01 11:00,21.7,0,85
283,경주시,2026-07-01 12:00,21.3,1.1,92
283,경주시,2026-07-01 13:00,20.4,2.1,88
283,경주시,2026-07-01 14:00,20.1,4,91
283,경주시,2026-07-01 15:00,20.1,0.3,90
283,경주시,2026-07-01 16:00,20,0,95
283,경주시,2026-07-01 17:00,19.4,0.1,96
283,경주시,2026-07-01 18:00,19.6,,94
283,경주시,2026-07-01 19:00,19.5,,94
283,경주시,2026-07-01 20:00,19.2,0,96
283,경주시,2026-07-01 21:00,19.5,,93
283,경주시,2026-07-01 22:00,19.6,,94
283,경주시,2026-07-01 23:00,19.4,,96
283,경주시,2026-07-02 0:00,18.9,,97
283,경주시,2026-07-02 1:00,19,,97
283,경주시,2026-07-02 2:00,19.2,,96
283,경주시,2026-07-02 3:00,19.5,,94
283,경주시,2026-07-02 4:00,19.5,,94
283,경주시,2026-07-02 5:00,19.5,,94
283,경주시,2026-07-02 6:00,19.5,,95
283,경주시,2026-07-02 7:00,20.4,,89
283,경주시,2026-07-02 8:00,22.4,,84
283,경주시,2026-07-02 9:00,23.8,,74
283,경주시,2026-07-02 10:00,24,,73
283,경주시,2026-07-02 11:00,24.6,,68
283,경주시,2026-07-02 12:00,26.4,,60
283,경주시,2026-07-02 13:00,26.3,,59
283,경주시,2026-07-02 14:00,27.2,,59
283,경주시,2026-07-02 15:00,27.8,,58
283,경주시,2026-07-02 16:00,28.2,,53
283,경주시,2026-07-02 17:00,27.6,,55
283,경주시,2026-07-02 18:00,25.6,,70
283,경주시,2026-07-02 19:00,24.3,,74
283,경주시,2026-07-02 20:00,23.3,,80
283,경주시,2026-07-02 21:00,22.5,,81
283,경주시,2026-07-02 22:00,21.9,,84
283,경주시,2026-07-02 23:00,20.6,,92
283,경주시,2026-07-03 0:00,20.7,,94
283,경주시,2026-07-03 1:00,20.6,,93
283,경주시,2026-07-03 2:00,20.4,,94
283,경주시,2026-07-03 3:00,20.2,,95
283,경주시,2026-07-03 4:00,20.3,,94
283,경주시,2026-07-03 5:00,20.6,,93
283,경주시,2026-07-03 6:00,20.6,,93
283,경주시,2026-07-03 7:00,21.3,,91
283,경주시,2026-07-03 8:00,22.9,0,87
283,경주시,2026-07-03 9:00,25.2,,74
283,경주시,2026-07-03 10:00,28.4,,66
283,경주시,2026-07-03 11:00,28.9,,59
283,경주시,2026-07-03 12:00,29.8,,56
283,경주시,2026-07-03 13:00,30.7,,54
283,경주시,2026-07-03 14:00,28.9,,61
283,경주시,2026-07-03 15:00,28.6,,68
283,경주시,2026-07-03 16:00,28.8,,65
283,경주시,2026-07-03 17:00,27.9,,66
283,경주시,2026-07-03 18:00,27.7,,68
283,경주시,2026-07-03 19:00,26.3,,73
283,경주시,2026-07-03 20:00,25,,78
283,경주시,2026-07-03 21:00,24.3,,80
283,경주시,2026-07-03 22:00,23.8,,81
283,경주시,2026-07-03 23:00,23.2,,85
283,경주시,2026-07-04 0:00,22.1,,92
283,경주시,2026-07-04 1:00,22.6,,88
283,경주시,2026-07-04 2:00,22.2,,90
283,경주시,2026-07-04 3:00,22.2,,89
283,경주시,2026-07-04 4:00,22.1,,88
283,경주시,2026-07-04 5:00,21.7,,92
283,경주시,2026-07-04 6:00,21.5,,93
283,경주시,2026-07-04 7:00,22,,91
283,경주시,2026-07-04 8:00,22.7,0,87
283,경주시,2026-07-04 9:00,23.7,0,84
283,경주시,2026-07-04 10:00,25.5,,75
283,경주시,2026-07-04 11:00,26.4,,75
283,경주시,2026-07-04 12:00,27.7,,71
283,경주시,2026-07-04 13:00,30.2,,63
283,경주시,2026-07-04 14:00,29.7,,64
283,경주시,2026-07-04 15:00,29.4,,63
283,경주시,2026-07-04 16:00,30.3,,58
283,경주시,2026-07-04 17:00,30.5,,53
283,경주시,2026-07-04 18:00,28.7,,68
283,경주시,2026-07-04 19:00,27.2,,73
283,경주시,2026-07-04 20:00,25.9,,76
283,경주시,2026-07-04 21:00,25.2,,77
283,경주시,2026-07-04 22:00,24.8,,78
283,경주시,2026-07-04 23:00,24.3,,80
283,경주시,2026-07-05 0:00,24,,82
283,경주시,2026-07-05 1:00,23.8,,83
283,경주시,2026-07-05 2:00,23,0,89
283,경주시,2026-07-05 3:00,22.7,0,92
283,경주시,2026-07-05 4:00,22.3,0,95
283,경주시,2026-07-05 5:00,22.5,0,91
283,경주시,2026-07-05 6:00,22.3,0,95
283,경주시,2026-07-05 7:00,22.9,0,93
283,경주시,2026-07-05 8:00,23.8,0,89
283,경주시,2026-07-05 9:00,25.4,,83
283,경주시,2026-07-05 10:00,26.2,,76
283,경주시,2026-07-05 11:00,27.5,,70
283,경주시,2026-07-05 12:00,27.6,,73
283,경주시,2026-07-05 13:00,27.6,,75
283,경주시,2026-07-05 14:00,27,0,77
283,경주시,2026-07-05 15:00,27.9,,76
283,경주시,2026-07-05 16:00,28.4,,72
283,경주시,2026-07-05 17:00,28.1,,73
283,경주시,2026-07-05 18:00,28,,74
283,경주시,2026-07-05 19:00,27,,77
283,경주시,2026-07-05 20:00,25.8,,81
283,경주시,2026-07-05 21:00,25.3,,82
283,경주시,2026-07-05 22:00,24.8,,84
283,경주시,2026-07-05 23:00,24.2,,86
283,경주시,2026-07-06 0:00,24.2,,87
283,경주시,2026-07-06 1:00,24.2,,86
283,경주시,2026-07-06 2:00,23.5,,90
283,경주시,2026-07-06 3:00,23.1,0.2,94
283,경주시,2026-07-06 4:00,23,0,95
283,경주시,2026-07-06 5:00,22.7,,97
283,경주시,2026-07-06 6:00,22.8,,96
283,경주시,2026-07-06 7:00,25.2,,91
283,경주시,2026-07-06 8:00,25.5,,84
283,경주시,2026-07-06 9:00,26.1,,82
283,경주시,2026-07-06 10:00,26.8,,76
283,경주시,2026-07-06 11:00,28.3,0,74
283,경주시,2026-07-06 12:00,29.7,,66
283,경주시,2026-07-06 13:00,31.5,,65
283,경주시,2026-07-06 14:00,32,,60
283,경주시,2026-07-06 15:00,33.1,,53
283,경주시,2026-07-06 16:00,32.4,,55
283,경주시,2026-07-06 17:00,32.8,,55
283,경주시,2026-07-06 18:00,31.4,,60
283,경주시,2026-07-06 19:00,30.9,,64
283,경주시,2026-07-06 20:00,29.1,,70
283,경주시,2026-07-06 21:00,27.9,,77
283,경주시,2026-07-06 22:00,27.2,,79
283,경주시,2026-07-06 23:00,25.9,,85
283,경주시,2026-07-07 0:00,25.4,,88
283,경주시,2026-07-07 1:00,24.4,,92
283,경주시,2026-07-07 2:00,23.8,,94
283,경주시,2026-07-07 3:00,23.8,,94
283,경주시,2026-07-07 4:00,23.8,,94
283,경주시,2026-07-07 5:00,23.8,,94
283,경주시,2026-07-07 6:00,24.2,,93
283,경주시,2026-07-07 7:00,26.5,,86
283,경주시,2026-07-07 8:00,26.1,,84
283,경주시,2026-07-07 9:00,26.6,0,83
283,경주시,2026-07-07 10:00,26.6,0,85
283,경주시,2026-07-07 11:00,29,,74
283,경주시,2026-07-07 12:00,31.7,,67
283,경주시,2026-07-07 13:00,31.1,,67
283,경주시,2026-07-07 14:00,33.2,,61
283,경주시,2026-07-07 15:00,33.5,,62
283,경주시,2026-07-07 16:00,32.3,,62
283,경주시,2026-07-07 17:00,31.6,,66
283,경주시,2026-07-07 18:00,30.9,,68
283,경주시,2026-07-07 19:00,29.9,,72
283,경주시,2026-07-07 20:00,28.2,,78
283,경주시,2026-07-07 21:00,27.3,,81
283,경주시,2026-07-07 22:00,26.5,,85
283,경주시,2026-07-07 23:00,26,,87
283,경주시,2026-07-08 0:00,25.6,,88
283,경주시,2026-07-08 1:00,24.9,,88
283,경주시,2026-07-08 2:00,24.8,,85
283,경주시,2026-07-08 3:00,24.6,,86
283,경주시,2026-07-08 4:00,24.6,,84
283,경주시,2026-07-08 5:00,23.2,,88
283,경주시,2026-07-08 6:00,22.7,,92
283,경주시,2026-07-08 7:00,25.3,,82
283,경주시,2026-07-08 8:00,28.2,,70
283,경주시,2026-07-08 9:00,30.6,,64
283,경주시,2026-07-08 10:00,30.2,,65
283,경주시,2026-07-08 11:00,30,,66
283,경주시,2026-07-08 12:00,30.7,,64
283,경주시,2026-07-08 13:00,31,,60
283,경주시,2026-07-08 14:00,30.7,,60
283,경주시,2026-07-08 15:00,30.7,,60
283,경주시,2026-07-08 16:00,30.9,,57
283,경주시,2026-07-08 17:00,30.5,,61
283,경주시,2026-07-08 18:00,29.9,,65
283,경주시,2026-07-08 19:00,29,,69
283,경주시,2026-07-08 20:00,27.9,,74
283,경주시,2026-07-08 21:00,27.3,,76
283,경주시,2026-07-08 22:00,27.2,,77
283,경주시,2026-07-08 23:00,26.9,,80
283,경주시,2026-07-09 0:00,27,,77
283,경주시,2026-07-09 1:00,26.8,,77
283,경주시,2026-07-09 2:00,27.1,,73
283,경주시,2026-07-09 3:00,27,,72
283,경주시,2026-07-09 4:00,26,,78
283,경주시,2026-07-09 5:00,25.7,,79
283,경주시,2026-07-09 6:00,26.3,,77
283,경주시,2026-07-09 7:00,28.2,,72
283,경주시,2026-07-09 8:00,28.5,,70
283,경주시,2026-07-09 9:00,30.4,,65
283,경주시,2026-07-09 10:00,31.5,,61
283,경주시,2026-07-09 11:00,32.7,,51
283,경주시,2026-07-09 12:00,31.1,,54
283,경주시,2026-07-09 13:00,33.4,,50
283,경주시,2026-07-09 14:00,31.9,,52
283,경주시,2026-07-09 15:00,32.9,,54
283,경주시,2026-07-09 16:00,31.9,,57
283,경주시,2026-07-09 17:00,31.4,,58
283,경주시,2026-07-09 18:00,29.7,,64
283,경주시,2026-07-09 19:00,28.4,,71
283,경주시,2026-07-09 20:00,27.3,,74
283,경주시,2026-07-09 21:00,26.7,,77
283,경주시,2026-07-09 22:00,26.3,,79
283,경주시,2026-07-09 23:00,25.6,,81
283,경주시,2026-07-10 0:00,25.1,,84
283,경주시,2026-07-10 1:00,24.5,,86
283,경주시,2026-07-10 2:00,23.3,,92
283,경주시,2026-07-10 3:00,22.9,,93
283,경주시,2026-07-10 4:00,23.1,,92
283,경주시,2026-07-10 5:00,22.9,,92
283,경주시,2026-07-10 6:00,22.2,,95
283,경주시,2026-07-10 7:00,24.1,,88
283,경주시,2026-07-10 8:00,25.6,,81
283,경주시,2026-07-10 9:00,29.7,,68
283,경주시,2026-07-10 10:00,30.4,,63
283,경주시,2026-07-10 11:00,31.9,,58
283,경주시,2026-07-10 12:00,32.9,,54
283,경주시,2026-07-10 13:00,34.3,,49
283,경주시,2026-07-10 14:00,34.6,,51
283,경주시,2026-07-10 15:00,33.1,,52
283,경주시,2026-07-10 16:00,34.9,,51
283,경주시,2026-07-10 17:00,33.6,,56
283,경주시,2026-07-10 18:00,33,,54
283,경주시,2026-07-10 19:00,31.5,,58
283,경주시,2026-07-10 20:00,29.5,,67
283,경주시,2026-07-10 21:00,28.1,,74
283,경주시,2026-07-10 22:00,27.1,,78
283,경주시,2026-07-10 23:00,25.9,,84
283,경주시,2026-07-11 0:00,24.6,,89
283,경주시,2026-07-11 1:00,23.9,,92
283,경주시,2026-07-11 2:00,23.3,,93
283,경주시,2026-07-11 3:00,23.4,,91
283,경주시,2026-07-11 4:00,22.5,,94
283,경주시,2026-07-11 5:00,22.1,,94
283,경주시,2026-07-11 6:00,22.4,,94
283,경주시,2026-07-11 7:00,24.8,,86
283,경주시,2026-07-11 8:00,27.4,,74
283,경주시,2026-07-11 9:00,30.4,,63
283,경주시,2026-07-11 10:00,32.4,,60
283,경주시,2026-07-11 11:00,33.3,,54
283,경주시,2026-07-11 12:00,33.9,,55
283,경주시,2026-07-11 13:00,35.9,,51
283,경주시,2026-07-11 14:00,36.5,,44
283,경주시,2026-07-11 15:00,34.7,,57
283,경주시,2026-07-11 16:00,35.5,,52
283,경주시,2026-07-11 17:00,35.3,,52
283,경주시,2026-07-11 18:00,34.6,,49
283,경주시,2026-07-11 19:00,32.9,,59
283,경주시,2026-07-11 20:00,30.4,,65
283,경주시,2026-07-11 21:00,28.8,,72
283,경주시,2026-07-11 22:00,26.9,,79
283,경주시,2026-07-11 23:00,26,,83
283,경주시,2026-07-12 0:00,25.4,,86
283,경주시,2026-07-12 1:00,25,,88
283,경주시,2026-07-12 2:00,24.5,,89
283,경주시,2026-07-12 3:00,24.1,,89
283,경주시,2026-07-12 4:00,23.8,,90
283,경주시,2026-07-12 5:00,23.3,,92
283,경주시,2026-07-12 6:00,24.2,,89
283,경주시,2026-07-12 7:00,27,,79
283,경주시,2026-07-12 8:00,29.8,,68
283,경주시,2026-07-12 9:00,31.2,,59
283,경주시,2026-07-12 10:00,33.1,,56
283,경주시,2026-07-12 11:00,34,,54
283,경주시,2026-07-12 12:00,34.7,,55
283,경주시,2026-07-12 13:00,35.2,,49
283,경주시,2026-07-12 14:00,35,,48
283,경주시,2026-07-12 15:00,34.2,,54
283,경주시,2026-07-12 16:00,35.1,,51
283,경주시,2026-07-12 17:00,34.1,,54
283,경주시,2026-07-12 18:00,33.2,,57
283,경주시,2026-07-12 19:00,31.1,,66
283,경주시,2026-07-12 20:00,29.7,,72
283,경주시,2026-07-12 21:00,28.7,,76
283,경주시,2026-07-12 22:00,28.1,,79
283,경주시,2026-07-12 23:00,27.2,,84
283,경주시,2026-07-13 0:00,26.6,,86
283,경주시,2026-07-13 1:00,26.3,,87
283,경주시,2026-07-13 2:00,25.5,,90
283,경주시,2026-07-13 3:00,24.9,,93
283,경주시,2026-07-13 4:00,24.7,,94
283,경주시,2026-07-13 5:00,24.4,,94
283,경주시,2026-07-13 6:00,24.6,,94
283,경주시,2026-07-13 7:00,27.1,,84
283,경주시,2026-07-13 8:00,29.6,,75
283,경주시,2026-07-13 9:00,32,,65
283,경주시,2026-07-13 10:00,32.9,,55
283,경주시,2026-07-13 11:00,34.8,,50
283,경주시,2026-07-13 12:00,34.9,,47
283,경주시,2026-07-13 13:00,35.6,,45
283,경주시,2026-07-13 14:00,35.6,,45
283,경주시,2026-07-13 15:00,36.2,,44
283,경주시,2026-07-13 16:00,35.8,,47
283,경주시,2026-07-13 17:00,35,,46
283,경주시,2026-07-13 18:00,33.8,,55
283,경주시,2026-07-13 19:00,31.5,,62
283,경주시,2026-07-13 20:00,29.7,,68
283,경주시,2026-07-13 21:00,28.4,,75
283,경주시,2026-07-13 22:00,27.9,,74
283,경주시,2026-07-13 23:00,27.1,,79
283,경주시,2026-07-14 0:00,26.6,,84
283,경주시,2026-07-14 1:00,26.8,,83
283,경주시,2026-07-14 2:00,27.3,,80
283,경주시,2026-07-14 3:00,26.3,,84
283,경주시,2026-07-14 4:00,25.2,,90
283,경주시,2026-07-14 5:00,25.1,,91
283,경주시,2026-07-14 6:00,25.9,,87
283,경주시,2026-07-14 7:00,28.3,,76
283,경주시,2026-07-14 8:00,30,,66
283,경주시,2026-07-14 9:00,30.8,,64
283,경주시,2026-07-14 10:00,31.4,,61
283,경주시,2026-07-14 11:00,32.7,,61
283,경주시,2026-07-14 12:00,34.5,,52
283,경주시,2026-07-14 13:00,33.8,,53
